Question,Answering,URL,Label,size_of_the_prompt_tokens,number_of_completion_tokens,number_of_ttotal_tokens,total_cost,zero-shot-chatgpt_response
"I’ve taken exams at the ARC before, but now “Eligible to test in the ARC Testing Center” does not appear on my accommodation letter. I want to test at the ARC again. How do I appeal this?","Students wishing to appeal their ARC testing eligibility may email the ARC with the subject “ARC Testing Eligibility Appeal.”

",https://Accessibility.utdallas.edu/student-accommodations/frequently-asked-questions/,Student Accessibility,0,0,0,0.0,"As an AI language model, I do not have access to specific information. However, you can appeal this decision by contacting the office that issued your accommodation letter and explaining why you need to test at the ARC again. Be sure to provide any relevant documentation or information that supports your request. They may require you to provide additional documentation or schedule a meeting to discuss your situation."
"Do I have to submit the form for every test, exam or quiz I want to take with you?
","Yes.

",https://Accessibility.utdallas.edu/student-accommodations/frequently-asked-questions/,Student Accessibility,0,0,0,0.0,"As an AI language model, I am not able to administer tests, exams, or quizzes. Therefore, you don't need to submit any form with me for any test, exam, or quiz. If you have any further questions or concerns, please feel free to ask."
"My professors said they would send the form in for me or schedule my exams at the ARC. This is OK, right?","No. Students must initiate all requests for accommodated exams at the ARC. If your exam is scheduled by anyone other than you, the reservation will not be accepted and you will need to resubmit the online form personally.

",https://Accessibility.utdallas.edu/student-accommodations/frequently-asked-questions/,Student Accessibility,0,0,0,0.0,"As an AI language model, I do not know the context of your situation. However, if your professors have offered to send forms for accommodations or schedule exams for you at the ARC (which I am assuming is the Academic Resource Center), then it is likely that they are trying to help you with any academic accommodations you may need. It is important to communicate clearly with your professors to ensure that everything is done correctly and on time."
I want to change my reservation or the date of the exam or make a change to a reservation I already submitted. Can I do that?,"If you submitted a reservation for an accommodated test at ARC, you may go back to the scheduling link and choose the option to edit or update reservations. 

Please note that the date or time can be changed only if your professor decided to change the date or time for the entire class. If you are ill or have an emergency and cannot attend, you will need to submit a new reservation for a make-up test at least five days in advance. The professor must approve the new reservation, which is not always guaranteed. If you need to update or change a reservation you made to test outside the ARC, please see your professor.",https://Accessibility.utdallas.edu/student-accommodations/frequently-asked-questions/,Student Accessibility,0,0,0,0.0,"As an AI language model, I don't have any specific information about your reservation or your exam. However, most likely it depends on the policies of the organization or institution managing the exam or reservation. In many cases, you may be able to change or modify your reservation, but there may be a deadline for making changes or a fee associated with changes. It's best to check with the organization or institution directly to determine their policies and procedures for making changes to reservations or exam dates."
"Why can’t I start my exam on the half hour (e.g., 1:30 p.m., 2:30 p.m., 3:30 p.m.)?","Due to limitations in space and proctors, we must start all exams on the hour. Please work with professors to adjust your start times.

",https://Accessibility.utdallas.edu/student-accommodations/frequently-asked-questions/,Student Accessibility,0,0,0,0.0,"As an AI language model, I am not sure what exam you are referring to, but generally, exams are scheduled to start on the hour to ensure that everyone is starting at the same time and to avoid any confusion or delay in starting the exam. Starting an exam on the half hour could cause issues with time management and coordination. Additionally, it allows the exam proctor to efficiently manage the time allotted for the exam."
My professor says they cannot find the space or time for me to take my test with accommodations. Guess I will just take it with the class and hope for the best?,"No! Please do not go without your accommodations if that is not your choice. The ARC will work with you and your professors to find options. 

Do not hesitate to contact the ARC director or assistant director at 972-883-2098.",https://Accessibility.utdallas.edu/student-accommodations/frequently-asked-questions/,Student Accessibility,0,0,0,0.0,"As an AI language model, I cannot provide legal or medical advice. However, if you have accommodations that are legally mandated under the Americans with Disabilities Act (ADA), your professor should make reasonable efforts to provide you with appropriate testing accommodations. I suggest you speak to your professor again and remind them of your accommodations and the legal responsibilities they have to provide them. If necessary, you can consider reaching out to your school's disability services office for additional support."
Can I just ask the ARC to get the time or other details from my professor when I fill out the online test form?,"No! Please only fill out the online forms when you have all the details. If you are unsure, ask your professor.

",https://Accessibility.utdallas.edu/student-accommodations/frequently-asked-questions/,Student Accessibility,0,0,0,0.0,"As an AI language model, I don't have the complete context of your question. However, if you are referring to the Accommodations and Resource Center (ARC) of your institution, then it is best to ask them directly if they can request information from your professor for the purpose of filling out an online test form. They may have policies and procedures in place for such requests. You can contact them via phone, email or in-person to discuss your situation and request any necessary accommodation."
"My professor gives a pop quiz or short test during part of the class period. How does this work with my accommodations?
","Quizzes can be complicated to accommodate, especially if you do not know about them in advance. It’s important to work out the details early in the semester when you see on your syllabus that there will be quizzes in addition to regular exams. 

Many students decide not to use their accommodations on quizzes since they are typically short, and students would have to leave class to go to their eligible testing center. However, it is your choice, and if you do need to use your accommodations, they should be made available to you. 

If you decide you want to use your testing accommodations for quizzes and you know about them in advance, ask the professor if you can take the quiz earlier or later than the class period in a location they provide. If you are eligible to test at the ARC, then you may submit the appropriate test scheduling form. 

If you need a reader, scribe, digital text or any other accommodations that require significant lead time, it is extremely important to discuss these accommodations with the ARC and your professors as soon as possible for quizzes especially pop quizzes. 

The quizzes often are given after class starts; for example, if the class starts at 10 a.m., the test might begin at 10:30 a.m. If you are eligible to take the test at the ARC Testing Center, you are required to start all tests, exams or quizzes on the hour (e.g., 9 a.m., 10 a.m., etc.). In this situation, you will need to get clearance from the professor to take the quiz at any time the ARC Testing Center is open the same date the class takes the quiz or test. 

If you schedule the test earlier or later than the class with the ARC and the professor approves, you will need to begin the test promptly at the start time you reserved. In other words, you cannot schedule a test at 10 a.m. in the ARC then show up at 10:30 a.m. to take the quiz when the rest of the class starts. If you are more than 15 minutes late for your scheduled testing time, you will not be allowed to test. 

Some professors like to discuss the questions on the quiz during class when students are finished. If you arrange to take the quiz after the class due to an accommodation, you must leave the classroom when such discussions occur. 

Faculty are sometimes using quizzes to check attendance (possibly by using clickers). If this is the case, contact the ARC as early as possible so we can work with you and the instructor to identify accommodation options.",https://Accessibility.utdallas.edu/student-accommodations/frequently-asked-questions/,Student Accessibility,0,0,0,0.0,"You should talk to your professor about your accommodations and how they can be implemented during pop quizzes or short tests. You may be entitled to extra time or a private testing environment, and your professor can work with you to make sure these accommodations are met. It is important to communicate with your professor and disability services office in advance to make sure all necessary arrangements are made."
I’ve never been asked to do this. Why am I just now seeing a request like this? ,"It is essential to consider this type of new accommodation because the risks associated with the COVID-19 virus can be so great to certain students. 
",https://Accessibility.utdallas.edu/student-accommodations/frequently-asked-questions/,Student Accessibility,0,0,0,0.0,"I'm sorry, as an AI language model I cannot accurately determine which request you are referring to. Could you please provide more context or information so that I can better understand and provide a helpful response?"
"Why can’t this student just show up to take tests? 
","The documentation provided by the student indicates substantial risk for being in crowds and environments that potentially create significant viral spread; therefore, even coming to class just to take an exam would not be reasonable. 
",https://Accessibility.utdallas.edu/student-accommodations/frequently-asked-questions/,Student Accessibility,0,0,0,0.0,"As an AI language model, I do not have the full context of the situation you are referring to. However, there could be various reasons why this student cannot show up to take tests, such as:

1. Illness or medical condition: The student may have a health issue that prevents them from attending school.

2. Schedule conflict: The student may have other commitments that clash with the test days.

3. Distance: The student may live far from school, and it may not be feasible for them to attend tests regularly.

4. Personal reasons: The student may have personal issues that prevent them from coming to school, such as family responsibilities or psychological difficulties.

5. School policy: The school may have a policy that requires students to attend classes regularly to take tests."
My class has attendance requirements because students are graded while I observe what they are doing and they must access specialized lab equipment that cannot be moved. How can I allow remote learning? ,"In rare cases, it can be a fundamental alteration of your class, which is not required even by accommodation. However, to make this decision it is essential that faculty consult with their department/program heads and the Accessibility Resource Center before denying an accommodation. 

",https://Accessibility.utdallas.edu/student-accommodations/frequently-asked-questions/,Student Accessibility,0,0,0,0.0,"Here are some possible solutions to allow remote learning:

1. Offer a hybrid model: You could offer a combination of in-person and remote learning. Students could attend some classes in person to access the specialized lab equipment, while other classes can be held online. This can help minimize the number of days students need to be on campus and make it easier for them to attend classes if they are not able to come to campus.

2. Record and share lab sessions: You could record lab sessions and share them with students online. This way, even if they can't be physically present in the lab, they can still access the content and learn from it.

3. Use virtual lab simulations: There are many virtual lab simulations available now that can provide students with a similar experience to working in a physical lab. You could incorporate these into your classes and use them as a way for students to complete labs from home.

4. Assign remote projects: You could assign remote projects that students can complete from home. This allows students to still engage with the material and complete work, even if they are not able to physically attend class.

5. Provide virtual office hours: You could offer virtual office hours where students can meet with you online to discuss class material, ask questions, or get help with assignments. This helps ensure that students still have access to you and can get the support they need to succeed in the class."
Online tests compromise my exam security. Why can’t these students take their exams on campus at the Accessibility Resource Center? ,The ARC testing facilities are now limited to students with accommodations requiring adaptive technology or other more specialized needs. The facilities are not large enough to provide social distancing for more than a minimal number of test takers.This semester we recommend that professors consider giving online exams for all students eligible to take a test with accommodations. Faculty still may use Honorlock or other remote proctoring services.,https://Accessibility.utdallas.edu/student-accommodations/frequently-asked-questions/,Student Accessibility,0,0,0,0.0,"As an AI language model, I do not have personal opinions or beliefs. However, I can suggest that one reason online tests may be used is to provide flexibility for students who may not be able to physically come to campus, such as those who live far away or have other obligations. Additionally, the Accessibility Resource Center may not have the capacity to accommodate all students who require testing accommodations. It is important for educational institutions to balance exam security with accessibility for all students."
"How should I talk to my professor about class absences? 
","We recommend students talk to professors to help bridge the gap between a personal/family situation, illness or injury, or any other matters that may be impacting ability to temporarily attend classes, focus on classwork, and/or meet academic deadlines. 

To assist with communications, we recommend the following tips to students: 

Email professor to convey initial situation. 
Discreet language you can use: “medical reasons,” “unexpected personal situation,” “on-going health needs,” “family situation,” etc. 
Utilize professor’s office hours or ask to schedule an appointment to follow up about missed coursework. 
Share documentation that can verify dates and situations. 
Plan ahead to discuss missed work (quizzes, assignments, exams, class participation). 
Try to create an action plan with the professor after meeting/talking. 
Continue to follow up with professors for additional missed classes. 
Example letter to professors: 
Dear Professor Smith, 

I am writing to share with you that I have not been able to attend your class [Course name/Unique #] on the following dates [Insert dates here] due to [insert situation here: e.g., illness/flu] situation. 

I am sorry that I have not been able to attend class; the situation was unexpected, but I have been trying to catch up on course work as best as possible. I can provide documentation to verify the situation, if needed. 

Can we set up a time to meet and discuss missed work and possible next steps? 

Thank you in advance for your time. I look forward to talking to you soon. 

Sincerely,
Your name
EID ",https://Accessibility.utdallas.edu/student-accommodations/frequently-asked-questions/,Student Accessibility,0,0,0,0.0,"As an AI language model, I do not have personal experiences. However, here are some general tips on how to talk to a professor about class absences: 

1. Be honest and direct - Explain the reasons for your absences in a clear and concise way. 

2. Be respectful - Approach the conversation with a polite and respectful attitude. Remember that your professor's time is valuable, so be mindful of that. 

3. Provide documentation - If you have documentation to support your absences, such as a doctor's note or a family emergency, bring it with you to the meeting. 

4. Make arrangements for missed class work - Let your professor know that you are committed to catching up on any missed work or assignments. 

5. Listen to your professor's advice - Your professor may have helpful advice on how to manage your absences and catch up on missed coursework. 

Overall, communication is key. Be honest, respectful, and proactive in finding solutions for managing your absences."
What transportation services are available for people with disabilities on and around campus? ,"There are a few transportation services available: 

Comet Cruiser:
883 Route Map (pdf)
883 Route Schedule
DART Paratransit Services
Campus Map",https://Accessibility.utdallas.edu/student-accommodations/frequently-asked-questions/,Student Accessibility,0,0,0,0.0,"As an AI language model, I do not have the access to the specific resources available for disabled people around campuses. However, usually, universities and colleges in the USA provide special transportation services for students, faculty, and staff members with disabilities. These services include wheelchair-accessible buses or vans, golf carts, and shuttle services with a lift. Additionally, some universities may offer a para-transit service, which provides more specialized transportation for students who have physical or cognitive disabilities that prevent them from using regular transportation. 
Specifically, students with disabilities should contact their university's or college's disability services office to learn about available transportation services that meet their needs."
What are the dates of my housing agreement?,The dates of the housing agreement are found on the University Housing homepage.,https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing,0,0,0,0.0,"I'm sorry, but as an AI language model, I cannot access your personal information to answer that question. Please refer to your housing contract or contact your housing provider for the dates of your housing agreement."
Can I rent an entire two-bedroom apartment for myself?,"The University of Texas at Dallas provides housing on an individual contracted basis. We offer housing options based on one bed per student, and we do not allow a student to reserve more than one bedroom except in limited cases for family housing, if available. If a student wishes to live alone, a student may select from the available 1-bedroom unit options on campus.",https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing,0,0,0,0.0,"Yes, you can rent an entire two-bedroom apartment for yourself. However, this will likely cost more than renting a one-bedroom apartment. It may be more cost-effective to find a roommate to split the rent with if you do not need the extra space."
Is renters insurance required?,Residents are strongly encouraged to purchase some kind of insurance plan to cover potential losses or liability for their belongings while living on campus. Click here for more information (pdf).,https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing,0,0,0,0.0,"Renters insurance is not legally required by law, but some landlords may require it as a condition of the lease agreement. It is always a good idea to have renters insurance regardless of whether it is required or not to protect your personal property against theft, damage, and other unforeseen events. Renters insurance can also provide liability coverage in case someone is injured on your rented property."
What I should I bring?,"    Alarm clock
    Bed sheets
        The University Commons residence halls have Twin XL beds
        Canyon Creek Heights North has Twin XL beds
        Canyon Creek Heights South has full-sized beds
    Cleaning supplies (toilet cleaner, laundry detergent, dish detergent, etc.)
    Computer or laptop
    First aid kit
    Plunger
    Shower curtain/liner
    Small tool kit (screwdriver, hammer, a selection of nails and screws, etc.)
    Toilet paper
    Toiletries
    Towels

University Village and Canyon Creek Heights apartment residents should bring kitchen supplies (pots, pans, plates, utensils, can openers, grocery and pantry items, etc.)

University Village apartment residents should also bring furniture (bed, couch, dining table, etc.)",https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing,0,0,0,0.0,"As an AI language model, I do not have enough context to understand what you are referring to. Can you please provide more information about the situation and the purpose of the list?"
Are vehicles allowed on campus?,Residents may bring a vehicle to campus. Parking decals are required and may be purchased from the Parking Office. The apartments and residence halls have designated parking locations. Visit the parking website for more information.,https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing,0,0,0,0.0,"As an AI language model, I cannot provide a specific answer regarding a particular campus. However, in general, vehicles are allowed on larger university campuses, but restrictions may apply in certain areas, such as pedestrian zones or specific parking areas. It is best to check with the specific campus administration for their policies on vehicles."
How do I pay my rent?,All University Housing charges are placed on the resident’s university bill and are paid through the Bursar. Please contact the Bursar for questions about your bill or payments.,https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing,0,0,0,0.0,"As an AI language model, I do not have access to your personal information and situation. However, generally speaking, there are several ways to pay rent, including:

1. Online payments: Many landlords or property management companies offer online payment options through their website or a third-party app.

2. Automatic payments: You can set up automatic payments through your bank account to ensure that your rent is paid on time each month.

3. Mail or drop-off: You can also send a check or cash to your landlord or drop it off in person at their office or designated mailbox.

4. Electronic transfers: If your landlord accepts electronic transfers, you can transfer the rent directly from your bank account into theirs.

It's important to check with your landlord or property management company to see what payment methods they accept and what deadlines and fees may apply."
How do I request rental verification?,"Housing Statements are available through Galaxy. The tool is available under Orion Self-Service (Student) > Orion Student Center > Bursar Account > Account Statement. Choose the term, then click “View Account Detail.” This will open the statement for that term.

The statement is considered an official UT Dallas statement and includes the UT Dallas logo. Print this statement to provide an official housing statement, to submit to employers for reimbursement, or to keep for your own official records.

University Housing and the Bursar Office do not print housing statements.

To request rental history request for dates prior to Fall 2018 (when University Housing’s billing was managed by American Campus Communities), email housing@utdallas.edu with the following information: student name, student number or NetID, and dates for which a rental history is needed.",https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing,0,0,0,0.0,"To request rental verification, follow these steps:

1. Contact your landlord or property manager and ask them to provide rental verification.

2. Provide them with a written request that includes the following information:

- The name of the tenant
- The address of the rental property
- The dates of the tenancy
- Your contact information (name, phone number, and email address)

3. Ask your landlord or property manager to provide the following information in writing:

- The amount of rent paid each month
- The dates of rent payments
- Any outstanding balances or late payments
- Whether the tenant was responsible and paid rent on time
- Whether the tenant followed all rules and regulations of the rental agreement

4. Provide the rental verification to the requesting party."
How do I get assistance after hours?,"Please contact a Peer Advisor, one of the Peer Advisors on call, or one of University Commons’ 24-hour front desks.

If a student wants/needs help with any kind of emotional distress after hours, they can call the Counseling Center’s after hours helpline, “UTD TALK” at 972-883-8255.",https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing,0,0,0,0.0,"If you need assistance after hours, you may contact customer support via email or phone if available. However, some businesses or organizations may not have after-hours support. If it is an emergency, you should contact your local emergency services."
"Will I have access to all clubhouses, pools and study rooms?","Yes, residents have access to all clubhouses, pools and study centers in the housing community.",https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing,0,0,0,0.0,"As an AI language model, I don't have access to specific information regarding clubhouses, pools, and study rooms of any organization or place. Please contact the specific venue or organization where you are a member or planning to join to inquire about their policies and access to such amenities."
What dining options are available?,Visit UT Dallas Dining Services for information about dining on campus.,https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing,0,0,0,0.0,"As an AI language model, I do not have specific information about your location or venue, therefore I can not provide you with an accurate answer. However, dining options generally include restaurants, cafes, food courts, and food trucks serving various types of cuisine, such as Italian, Chinese, Mexican, Indian, etc. Some venues also offer buffets, fine dining options, and room service. The dining options may vary depending on the location and the specific venue."
What security measures are in place?,"UT Dallas Police provide frequent patrols throughout University Housing. University Housing management does not assume any legal obligations for personal injury, loss or damage to personal property. You and/or your parents are encouraged to carry appropriate insurance to cover such losses.

Anyone with a cell phone can register via Galaxy to receive text alerts in the event of an emergency or disruption to normal university operations.

For sexual assault emergencies after business hours, please call the 24-hour rape crisis hotline at 972-641-7273. You will be connected with a sexual assault advocate from the Dallas Area Rape Crisis Center.

    Sexual Assault Recovery Services",https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing,0,0,0,0.0,"As an AI language model, I do not have any security measures in place. However, security measures can vary depending on the context or platform in question. Some examples of security measures that may be implemented in various contexts include:

1. Encryption: data is encrypted to prevent unauthorized access or interception.

2. Authentication: users are required to verify their identity to access certain features or information.

3. Firewalls: network security measures that limit access to specific parts of a computer network or website.

4. Two-factor authentication (2FA): a security process in which users provide two forms of identification before gaining access to a system or account.

5. Anti-virus and anti-malware software: tools that detect and remove malicious software and viruses.

6. Regular software updates: frequent updates can help to address any security vulnerabilities in software or systems.

7. Backup and disaster recovery plans: plans in place to recover data and systems in the event of a disaster or cyberattack.

8. Physical security measures: physical barriers or guards to prevent unauthorized access to areas or equipment.

9. Security audits and testing: periodic audits and testing to identify any vulnerabilities or weaknesses in security measures."
Missing Residential Student Policy,The purpose of this policy is to establish procedures for the university’s response to reports of missing residential students as required by the Higher Education Opportunity Act of 2008. This policy applies to all students who live in University Housing. Download the Missing Residential Student Form.,https://housing.utdallas.edu/resources/frequently-asked-questions/,Housing,0,0,0,0.0,"As an AI language model, I do not have personal beliefs. But, I can provide you with a sample of a missing residential student policy.

Missing Residential Student Policy:

The Residential Life Department’s first priority is to ensure the safety and security of all residents living on-campus. Unfortunately, there may be circumstances when a student is unable to be located or accounted for. This Missing Residential Student Policy is designed to outline the protocol for reporting a missing resident and to coordinate a thorough search effort to locate the individual as quickly as possible.

Definitions
1. A student will be considered missing when they have not been seen or heard from in a reasonable amount of time, and their whereabouts cannot be determined.
2. The designated emergency contact(s) identified for the missing resident are the individual(s) who will be contacted if the student is determined to be missing.
3. A missing person investigation will be initiated by the Residential Life Department, and the campus law enforcement agency will be notified immediately.

Reporting a Missing Residential Student
Anyone concerned about a residential student's whereabouts or well-being should notify Residential Life staff or the campus law enforcement agency immediately. The notification should be made as soon as possible.

Investigation
Once notified of a missing residential student, the Residential Life Department will launch an investigation. The investigation may include, but is not limited to, contacting relatives or friends, searching the last known locations, and reviewing video surveillance footage. The police will also be notified to participate in the investigation.

Search Procedures
In case of a confirmed missing residential student, the Residential Life Department will ask the campus community, staff, and students to assist with the search efforts. Any information or tips regarding the missing resident should be reported immediately to the Residential Life Department or the campus law enforcement agency. A systematic search will be conducted to cover all possible locations on campus, including nearby hospitals and other medical facilities.

Follow-Up Procedures
Once a missing residential student has been located, the campus law enforcement agency will notify the Residential Life Department, and the emergency contact(s) will be contacted.

Amending or Updating this Policy
The Residential Life Department is responsible for reviewing and updating this policy as it deems necessary.

This policy aims to establish procedures that can be followed in case of a missing residential student. It ensures that any such scenarios are handled appropriately and promptly to ensure the safe return of the student."
